Rill,Fake,greedy,dp,selisih
pengesat,penghesat,1,1,0
geomedis,gvomedis,1,1,0
royal-royalan,croyal-qroynalan,3,3,0
pemampasan,pemwmpasan,1,1,0
pengububan,engubhba,3,3,0
sejarah,sejkrah,1,1,0
jenang,jenangk,1,1,0
berpropaganda,brpropaganda,1,1,0
koprofilia,koprzfirlia,2,2,0
birokratisasi,birokratjlsasi,2,2,0
ozonisator,obonisator,1,1,0
penyedia,pnyedia,1,1,0
togata,togiata,1,1,0
mencampung,mecawmung,3,3,0
perponding,peorpondixnug,3,3,0
layang,layankr,2,2,0
terpelosok,zterpelosok,1,1,0
kemahasiswaan,kmahasiswwaan,2,2,0
kelongkong,kelongkmng,1,1,0
wotobu,wobur,4,3,1
inggu,iqnsu,3,3,0
menghempaskan,menghempaskand,1,1,0
culpa,mulpn,2,2,0
mengalicaukan,mengalicukrxan,5,3,2
sarigunung,sarigdung,4,2,2
dasi,daqsdi,2,2,0
umo,m,2,2,0
meta,etzak,3,3,0
kehormatan,kehsormatan,1,1,0
berguguran,bergugucan,1,1,0
sektarianisme,sevkqtarinisme,3,3,0
unting-unting,untng-untinjw,3,3,0
makna,mcaoda,3,3,0
keterangan,keteranghn,1,1,0
parasitoma,pwarasitoma,1,1,0
pengalokasian,pbengalokasian,1,1,0
transpuan,transpuhn,1,1,0
gastroskop,gasrososp,3,3,0
engket-engket,engket-engnket,1,1,0
konduktans,vonduktns,2,2,0
penitil,mpegnizil,3,3,0
enggan-enggan,enan-engan,10,3,7
hiperglikemik,hiperglikemi,1,1,0
tropis,utrfopia,3,3,0
masuk,suk,5,2,3
deras,deias,1,1,0
memanjakan,memagnjaevn,3,3,0
batal,babapb,3,3,0
mengundang,qvcengundang,11,3,8
tuak,uak,1,1,0
oksigen,oksiben,1,1,0
pencabikan,pencabika,1,1,0
nonekonomi,noneohomi,2,2,0
bongkong,bngoongt,4,3,1
ngeang-ngeang,ngeang-nggeang,1,1,0
menistakan,menisjctakan,6,2,4
darmasiswa,darmtsisaa,3,2,1
penyunggingan,pxeinyungginan,3,3,0
multiprosesor,multprosesor,1,1,0
pembanting,pembagting,1,1,0
pertepatan,puertpatn,3,3,0
memasak-masak,kmemasak-miasak,2,2,0
delicti,cdelrti,3,3,0
wedang,wndang,1,1,0
blokeran,blokean,1,1,0
stereotip,steeotip,1,1,0
pernafsian,plrnafsian,1,1,0
sidang,snhdag,3,3,0
androfilia,androzilia,1,1,0
melantan,mmelinthan,3,3,0
fertilitas,feratlitas,2,2,0
penyambung,penyabung,1,1,0
jepit,jeit,1,1,0
penggempur,enggfempr,3,3,0
paleopatologi,ptalepatologi,2,2,0
reaksioner,rmaksione,2,2,0
otonom,tonom,1,1,0
preservasi,preservazsx,2,2,0
ruminansia,rmlnatsia,3,3,0
kelincahan,keliqcaha,2,2,0
mangga,mnavga,3,3,0
sandal,sandjl,1,1,0
massenrempulu,massjeznrumpulu,3,3,0
kepedulian,kepqdulan,2,2,0
mengecipir,mengeciprk,2,2,0
berlengkap,berlhngkap,1,1,0
susubundar,bsusubundar,1,1,0
hesperidin,hosperidi,2,2,0
esofagitis,yesoagptis,3,3,0
trikofobia,triofobia,1,1,0
dorong,drbng,2,2,0
sultani,suytrni,2,2,0
memperlabu,memperlonu,2,2,0
imigran,imygran,1,1,0
setum,sthu,3,3,0
jago,ahgo,2,2,0
lembut,lembugn,2,2,0
melepuhkan,melepumhkan,1,1,0
sentani,yenpajni,3,3,0
sawat,spwa,2,2,0
gembar-gembor,gembark-embor,2,2,0
peraduan,paduan,7,2,5
luah,cae,3,3,0
bakterisid,bakteiskid,2,2,0
ketela,etla,2,2,0
mengangkatkan,mengangkbtkan,1,1,0
kolaret,yolaret,1,1,0
pengupaman,penggupaman,1,1,0
terlingkar,tehlingkar,1,1,0
blanko,slawnko,2,2,0
ibrahim,iybrdahim,2,2,0
paha,pah,1,1,0
macan-macanan,mwsacan-macanau,10,3,7
septisemia,septisemizz,2,2,0
aspartat,apartvt,2,2,0
menitah-nitah,enitahl-itah,3,3,0
pengeboman,pengebomuan,1,1,0
isoklin,isolip,2,2,0
kepekaan,kepeokaan,1,1,0
hendak,hedvk,2,2,0
anjing-anjing,anig-anjing,2,2,0
konfrontir,konfrntir,1,1,0
akad,hwkpd,3,3,0
mengembeng,mjengewmbong,3,3,0
hemodilusi,hemodilul,2,2,0
menyuntingkan,menyultingkn,2,2,0
polong,pong,4,2,2
biaya,bgdaya,2,2,0
geladak,geadjk,2,2,0
berpesawat,beresawat,1,1,0
kosmopolit,osmopolit,1,1,0
prekariat,prukbarijat,3,3,0
ukir-mengukir,ukirpmengukira,2,2,0
mengeriput,megepriput,2,2,0
bertarawih,bertaraih,1,1,0
berdenting,eerddentinjg,4,3,1
narasumber,narysumbez,2,2,0
